,GHI
477,1776.663
478,2054.171
479,1771.2559999999999
480,2058.39
481,1809.7320000000002
482,2137.485
483,1991.897
484,1966.2620000000002
485,1756.56
486,2170.153
487,1790.1960000000001
488,1921.771
489,1791.373
490,1764.425
491,2004.466
492,1894.867
493,1970.6400000000003
494,1976.8259999999998
495,2228.373
496,1860.5040000000001
497,1820.785
498,1945.0
499,1822.258
500,1945.2939999999999
501,1817.02
502,1918.01
503,1866.7749999999999
504,1994.4279999999999
505,1876.408
506,1990.4460000000001
507,1993.036
508,1893.366
509,1917.302
510,2238.985
511,1869.108
512,1994.6660000000002
513,2006.809
514,2138.747
515,2063.7980000000002
516,1997.257
517,1790.8519999999999
518,1899.4710000000002
519,1869.33
520,1778.181
521,1952.672
522,2072.498
523,1947.451
524,2012.7649999999999
525,1778.964
526,1972.617
527,1827.211
528,2163.518
529,1835.429
530,1821.013
531,1848.5299999999997
532,1911.422
533,1895.202
534,1852.918
535,1997.221
536,1769.2210000000002
537,1801.952
538,1922.413
539,1775.15
540,2201.731
541,2036.579
542,2082.6459999999997
543,1872.0770000000002
544,1920.046
545,1954.6319999999998
546,2045.3919999999998
547,1781.1180000000002
548,1820.641
549,1939.712
550,1941.397
551,1890.102
552,1871.844
553,1817.236
554,2141.057
555,1813.534
556,1924.262
557,1824.558
558,1791.7530000000002
559,1779.938
560,1831.8930000000003
561,1974.25
562,1824.485
563,1824.823
564,2030.8959999999997
565,1791.861
566,1993.992
567,1943.7019999999998
568,1778.449
569,1918.7509999999997
570,2039.174
571,1817.279
572,1815.844
573,1854.65
574,2113.3979999999997
575,2201.756
576,1947.453
577,1891.802
578,2227.018
579,1756.693
580,1961.22
581,1761.2520000000002
582,1904.392
583,1887.515
584,1827.747
585,2196.821
586,1965.513
587,2046.771
588,1828.773
589,1993.279
590,1773.95
591,2031.601
592,1940.1949999999997
593,1764.841
594,1973.405
595,1946.6200000000001
596,2179.1730000000002
597,1835.472
598,1938.07
599,1939.794
600,2000.0620000000001
601,1771.6260000000002
602,2032.395
603,2016.594
604,1926.353
605,1998.65
606,1993.277
607,2000.874
608,1990.894
609,1816.3660000000002
610,1850.6560000000002
611,1758.719
612,2015.971
613,1826.4189999999999
614,1918.997
615,1844.605
616,2000.3860000000002
617,1820.007
618,1786.295
619,1990.6180000000002
620,1993.064
621,1823.296
622,1912.6589999999999
623,2128.042
624,1776.4309999999998
625,1956.113
626,1846.4759999999999
627,2154.28
628,1924.269
629,1970.868
630,1947.373
631,1956.102
632,1996.663
633,1766.683
634,1795.948
635,1919.8639999999998
636,2007.065
637,1790.956
638,2050.471
639,1913.343
640,2067.652
641,1940.788
642,2176.579
643,1819.577
644,1849.0100000000002
645,2004.735
646,1975.741
647,1775.738
648,1828.643
649,1916.7649999999999
650,1825.2849999999999
651,1915.009
652,1824.2440000000001
653,1824.654
654,2152.4570000000003
655,1993.294
656,1781.631
657,1831.6860000000001
658,2010.308
659,1956.9289999999999
660,2021.6680000000001
661,1809.6860000000001
662,2118.273
663,1892.2740000000001
664,1767.748
665,1774.5900000000001
666,1759.317
667,1774.7549999999999
668,1954.7150000000001
669,1916.805
670,1765.5059999999999
671,1765.201
672,1795.077
673,1785.767
674,1916.9500000000003
675,1792.751
676,1993.2330000000002
677,1999.8300000000002
678,1914.9090000000003
679,1843.5430000000001
680,1792.862
681,1858.183
682,2114.566
683,1993.584
684,2036.326
685,2015.0179999999998
686,1991.732
687,1811.9340000000002
688,1773.356
689,1992.309
690,1935.383
691,1797.321
692,1991.877
693,1782.338
694,1840.5400000000002
695,1793.098
696,1844.7399999999998
697,1899.3619999999999
698,2035.9289999999999
699,1940.316
700,1836.972
701,2024.732
702,1820.4830000000002
703,2147.108
704,1793.603
705,2008.337
706,2066.759
707,1776.201
708,2005.1060000000002
709,2037.866
710,1965.656
711,1826.283
712,1781.2709999999997
713,2002.769
714,2142.921
715,1824.3600000000001
716,1991.7299999999998
717,2024.076
718,1775.691
719,1785.333
720,1961.905
721,2033.161
722,1829.91
723,1962.341
724,1857.923
725,1981.428
726,1918.202
727,1799.169
728,1965.406
729,1832.2289999999998
730,1990.559
731,2006.039
732,2020.756
733,1934.529
734,1821.733
735,2151.927
736,1824.716
737,2221.454
738,1919.742
739,1821.0539999999999
740,2041.59
741,1846.886
742,1803.9379999999999
743,1993.252
744,2005.1840000000002
745,1953.3850000000002
746,1954.698
747,1845.6479999999997
748,1809.689
749,1788.1260000000002
750,1786.2970000000003
751,1789.409
752,2004.1480000000001
753,1976.491
754,1992.9630000000002
755,1772.241
756,1947.415
757,1946.2479999999998
758,2049.4919999999997
759,2073.358
760,1796.78
761,1903.698
762,1972.7599999999998
763,1997.5720000000001
764,2038.122
765,1941.453
766,1927.228
767,1830.8519999999999
768,1910.701
769,1758.0620000000001
770,1849.2799999999997
771,1819.4900000000002
772,1996.9959999999999
773,1962.446
774,1946.491
775,1929.142
776,1925.129
777,1972.013
778,1874.916
779,1817.087
780,2031.3719999999998
781,1993.2520000000002
782,1786.148
783,1920.467
784,2165.572
785,1871.496
786,1859.941
787,2104.6699999999996
788,1928.17
789,2074.8550000000005
790,2246.554
791,1992.2530000000002
792,1938.7749999999999
793,2125.817
794,1948.586
795,1976.4160000000002
796,2036.3650000000002
797,1953.604
798,2004.6950000000002
799,1854.9169999999997
800,2001.131
801,1775.9160000000002
802,1824.73
803,1764.249
804,1787.891
805,2175.822
806,1782.94
807,1969.058
808,1892.11
809,1773.314
810,1876.699
811,1771.557
812,1852.016
813,2014.1509999999998
814,1912.513
815,2005.9569999999999
816,2011.451
817,1839.7640000000001
818,1973.693
819,2176.85
820,1783.453
821,1820.638
822,1771.6980000000003
823,1940.926
824,1780.688
825,1992.157
826,1916.616
827,1978.953
828,1810.8480000000002
829,1965.492
830,1992.083
831,1945.5500000000002
832,1787.7020000000002
833,1833.433
834,1916.674
835,1977.5600000000002
836,1817.918
837,2020.1749999999997
838,1824.4410000000003
839,1979.067
840,1766.2179999999998
841,1823.042
842,1889.0780000000002
843,1918.243
844,1881.3880000000001
845,1817.919
846,1921.886
847,1926.808
848,1909.613
849,1992.4679999999998
850,1797.7759999999998
851,1859.98
852,1864.301
853,1814.307
854,1797.824
855,1916.085
856,1993.641
857,1947.033
858,1817.315
859,1872.0010000000002
860,1775.343
861,2039.2749999999999
862,2011.102
863,1846.7590000000002
864,2008.147
865,2057.321
866,2005.2300000000002
867,2011.922
868,1920.604
869,2014.934
870,2036.639
871,2003.3020000000001
872,2015.8350000000003
873,1788.1689999999999
874,2233.3009999999995
875,2011.76
876,1898.731
877,1773.938
878,1835.515
879,1950.134
880,2067.3950000000004
881,1765.436
882,1798.909
883,1787.65
884,1782.2289999999998
885,1799.888
886,1948.645
887,1746.881
888,1817.5369999999998
889,1993.0639999999999
890,1854.8349999999998
891,1971.77
892,2042.81
893,2001.5489999999998
894,2003.787
895,1871.988
896,2139.6800000000003
897,1777.699
898,1959.5979999999997
899,1779.4550000000002
900,1819.124
901,1976.709
902,1987.399
903,1906.492
904,1810.365
905,1789.317
906,2031.1650000000002
907,1824.3509999999999
908,1997.1970000000001
909,1960.058
910,1808.7530000000002
911,1944.536
912,1827.235
913,2042.2150000000001
914,2002.0249999999999
915,1780.698
916,1784.216
917,2002.353
918,2029.046
919,1822.1509999999998
920,1990.161
921,2004.349
922,2140.611
923,1784.714
924,1792.064
925,1822.693
926,2012.9660000000001
927,1775.5919999999999
928,1797.96
929,2103.804
930,1923.4589999999998
931,1817.152
932,1998.958
933,2058.542
934,1789.396
935,1907.76
936,1999.542
937,1771.026
938,1819.234
939,1955.326
940,1992.321
941,1992.719
942,1981.6680000000001
943,1831.756
944,1823.25
945,1802.491
946,1773.1490000000001
947,1839.884
948,1942.9569999999999
949,2067.476
950,2040.452
951,2018.799
952,1869.2700000000002
953,2039.124
954,2031.2120000000002
955,2200.8399999999997
956,2234.395
957,1901.21
958,1970.6820000000002
959,2002.1889999999999
960,1948.0130000000001
961,1892.4750000000001
962,1812.182
963,1824.0919999999999
964,1828.2939999999999
965,1901.416
966,2053.968
967,1776.244
968,1842.9230000000002
969,1766.32
970,1990.9859999999999
971,1851.253
972,1969.375
973,1998.7800000000002
974,2002.693
975,2201.956
976,1993.3559999999998
977,1792.728
978,1771.426
979,1933.671
980,1973.319
981,1987.6509999999998
982,1785.088
983,1986.731
984,1774.953
985,1989.136
986,1989.527
987,1823.756
988,1798.3989999999997
989,1773.3729999999998
990,2158.2870000000003
991,2009.077
992,1830.625
993,1992.053
994,2033.8049999999998
995,1782.676
996,1941.981
997,1958.172
998,1868.8280000000002
999,2138.385
1000,1773.0
1001,1903.729
1002,1924.163
1003,1982.4450000000002
1004,1950.9859999999999
1005,1838.392
1006,2149.493
1007,1921.2490000000003
1008,1768.8980000000001
1009,1772.523
1010,1997.062
1011,1905.5029999999997
1012,2135.4519999999998
1013,1816.471
1014,2052.709
1015,1825.0649999999998
1016,1954.246
1017,2001.353
1018,1865.0510000000002
1019,2001.1779999999999
1020,1812.6370000000002
1021,2001.0729999999999
1022,2002.673
1023,1778.121
1024,1887.739
1025,2146.075
1026,1773.6979999999999
1027,1974.71
1028,2079.489
1029,1782.428
1030,2142.885
1031,2004.344
1032,1955.109
1033,1991.324
1034,1775.3200000000002
1035,2002.5119999999997
1036,1815.5800000000002
1037,2057.325
1038,1803.579
