,Energy
12019,542.8087773926422
12020,551.0471718136312
12021,520.9141070320667
12022,535.1659354403805
12023,529.025380071133
12024,556.65460770664
12025,545.6621845193674
12026,559.9020982502142
12027,577.5673543281811
12028,542.8026625778291
12029,545.2164996877292
12030,514.7983779296877
12031,522.7170171244886
12032,557.2507019460978
12033,526.7571655529562
12034,524.022400606881
12035,540.392864382156
12036,595.3286848078889
12037,576.1286885869372
12038,523.605780737212
12039,528.0310057213583
12040,579.0857468727137
12041,539.0638301423799
12042,510.4151356231325
12043,525.3533890463151
12044,555.7257500350834
12045,505.5613869364654
12046,518.5068813580339
12047,572.3372675940237
12048,581.8250043317672
12049,537.5437679422841
12050,515.6380177411437
12051,591.2164833789459
12052,520.3437531186892
12053,521.3214266892296
12054,532.122064224762
12055,574.723284270181
12056,553.7909845466118
12057,525.6456235981758
12058,548.9492902624529
12059,511.31074863331764
12060,552.9267626930593
12061,577.7476139802598
12062,561.1693504725579
12063,565.6406895677844
12064,561.7708500860273
12065,526.9217278679193
12066,542.2111020485253
12067,591.9627675075285
12068,552.9032496816691
12069,529.3693837399288
12070,534.096788773322
12071,526.2429883463334
12072,587.2833296022574
12073,566.5938564518011
12074,566.0142108779305
12075,530.4413196505767
12076,542.2272808329259
12077,480.38372117753255
12078,612.0924651997709
12079,442.9419719775769
12080,455.19190243365017
12081,431.0385055012538
12082,560.2026642966731
12083,541.3974586987413
12084,607.4941522495413
12085,606.1199194961823
12086,558.6176293883301
12087,607.2937752048391
12088,614.2057411893419
12089,569.1153343921551
12090,553.4807680468036
12091,436.6096240620314
12092,526.6724556411084
12093,453.72821563677246
12094,568.7993276282281
12095,623.2426672346211
12096,443.3715489437137
12097,596.2345132937436
12098,620.0265153522824
12099,451.2691160335717
12100,566.8882192907837
12101,587.3599386002313
12102,607.9137049543475
12103,538.2681246473621
12104,538.2642830226661
12105,567.3627457547001
12106,516.9386332507289
12107,620.7480035544988
12108,441.8134656339304
12109,579.7778093816531
12110,535.0648863919267
12111,568.900912497874
12112,449.03406784506603
12113,612.8826479475476
12114,580.7529943873734
12115,584.0818522146647
12116,606.050513753564
12117,579.2770390354553
12118,470.1715350744231
12119,582.6210403578699
12120,615.0532855378951
12121,598.0934597695237
12122,571.0273948783394
12123,571.3486663326466
12124,606.3183264492117
12125,555.5578463222641
12126,452.9196060919053
12127,522.7945489243009
12128,549.4512271150862
12129,567.6108551940878
12130,550.4937951694127
12131,419.74971110190506
12132,526.2032137895145
12133,594.2392701829486
12134,586.2850916231536
12135,563.1648188653821
12136,566.4983627126901
12137,469.3083587110911
12138,506.1289663423941
12139,464.16892821782506
12140,616.1193704486659
12141,554.90627496202
12142,543.3611602512391
12143,556.7272817301514
12144,543.614327813085
12145,545.7209341767954
12146,574.3053867674548
12147,537.6389795826469
12148,446.4805864029268
12149,466.3529433079741
12150,601.1613344884686
12151,530.7464351068503
12152,544.5547996230108
12153,579.0904149870454
12154,610.6073432577792
12155,572.7123435328213
12156,587.911994325326
12157,560.9815227663283
12158,586.7047527464462
12159,601.3146971575419
12160,415.3522698491984
12161,573.5656479481536
12162,570.2067884963114
12163,587.3509231675339
12164,603.7112187622678
12165,436.13141891697074
12166,546.0603325865945
12167,427.06892909709654
12168,448.0669401926069
12169,613.9992840053146
12170,576.3472311250764
12171,597.7636015629356
12172,611.9918341156977
12173,574.9322228708328
12174,614.1050661778205
12175,558.8305804522242
12176,568.8207322383936
12177,572.9965146382971
12178,450.2750982326952
12179,460.6353701721929
12180,448.94345871928857
12181,623.0064383368466
12182,443.9271801793808
12183,523.3897915986552
12184,528.9052216150285
12185,532.5553668130516
12186,605.8357341833051
12187,445.15483566945375
12188,469.21483752822763
12189,613.4197942094651
12190,470.05182617112024
12191,440.62485592377203
12192,619.6822416150706
12193,456.2486705226874
12194,441.17055738115005
12195,570.0565943651025
12196,451.0831054092638
12197,459.4867691864008
12198,564.6464071661247
12199,465.73182264868893
12200,609.6393010634048
12201,580.6484061168643
12202,548.7643104598855
12203,592.515185751051
12204,568.5608945781913
12205,443.5655384424713
12206,619.4039595438247
12207,595.479547526371
12208,583.6598423065111
12209,588.2517359584797
12210,614.812771431995
12211,454.10635235969966
12212,576.3473479281968
12213,445.8425809103629
12214,562.6895643577067
12215,561.0490313003131
12216,519.6904577216186
12217,595.3061644805803
12218,418.7050938258057
12219,543.2589620608766
12220,539.8975083407751
12221,593.0527005547239
12222,603.0646200395021
12223,449.3511401468002
12224,565.2514465436973
12225,523.2552343374806
12226,616.3432811927934
12227,536.2775583242959
12228,546.8685747010503
12229,443.34984311482265
12230,607.3549053008755
12231,494.0506318246761
12232,577.5240713851217
12233,564.9118840205072
12234,575.0462427340235
12235,600.0718162972667
12236,620.2179114329153
12237,597.39611944377
12238,614.2196373303824
12239,587.8214653981059
12240,456.1196028906719
12241,545.7255252808891
12242,556.1754117126837
12243,594.4710246433874
12244,446.75597402276014
12245,452.6657486557013
12246,586.4334217514438
12247,438.7791645585751
12248,603.9194306256239
12249,603.5476989715502
12250,620.7204768545153
12251,550.5563915865296
12252,617.5958919022603
12253,617.23023333175
12254,601.9277524731574
12255,577.5207468367034
12256,467.0493839587471
12257,578.8091768947841
12258,567.1181996802463
12259,567.8501149870197
12260,606.528853443333
12261,547.5969931676773
12262,562.1699750796365
12263,434.81077076188296
12264,544.680906607364
12265,537.6240401371072
12266,604.6014823604278
12267,442.4293568761796
12268,451.0941982058233
12269,535.2073493922022
12270,534.2428352355494
12271,615.3085376730137
12272,617.9990708717421
12273,616.7144449761178
12274,529.277167388327
12275,457.42005488898116
12276,624.4747628589058
12277,607.554938908336
12278,442.61522850757785
12279,436.172100114273
12280,619.6681205325847
12281,602.4344803741861
12282,646.0055587260392
12283,598.9609999731575
12284,623.5308522775751
12285,629.5693651591823
12286,623.3257414096886
12287,624.2898925428236
12288,602.0063054619528
12289,636.1325513826954
12290,627.1514084580513
12291,595.6242744923236
12292,620.233493475095
12293,631.2446433586949
12294,621.8404131610278
12295,636.6619198224216
12296,601.4826941994695
12297,619.4768568490085
12298,621.7244823238846
12299,633.0032217310261
12300,628.2113081414942
12301,609.653030837396
12302,601.5876785068525
12303,608.8276794760224
12304,630.1395920675785
12305,640.0721893387536
12306,598.8480206128727
12307,636.2803883064789
12308,630.8825692619502
12309,656.2793265745062
12310,630.1891306165003
12311,616.0928558657498
12312,645.551226274463
12313,605.7076248166014
12314,640.5761185827915
12315,609.7720955698454
12316,639.8933641250079
12317,625.8054299706774
12318,606.9309483866479
12319,646.9622797674704
12320,646.6327090618169
12321,633.7872636191757
12322,644.7447906306619
12323,420.92138601585077
12324,417.172337335947
