,Energy
15779,527.1672939599354
15780,589.5068332419585
15781,617.1287660061894
15782,620.8825045325664
15783,614.3831474407185
15784,559.6634419867231
15785,561.8976045434257
15786,455.3493760560272
15787,599.7672019369834
15788,536.6872261638979
15789,566.0050223239566
15790,451.18702946121385
15791,581.3439340055735
15792,463.8492808046023
15793,612.8031813444571
15794,550.288868823784
15795,613.6198821461932
15796,558.3501678060841
15797,552.4305446688044
15798,592.1594259997819
15799,551.0453822729924
15800,584.8694189275602
15801,579.0102904538579
15802,560.779213486862
15803,592.5733396848547
15804,541.3270901698588
15805,456.6049659014551
15806,545.1163473123634
15807,617.0018225603685
15808,574.669918877341
15809,615.735886086028
15810,535.9359470582888
15811,591.4442953198613
15812,604.7434876060553
15813,618.6673456998533
15814,440.97767600292667
15815,621.8285446138066
15816,563.0048299407546
15817,467.8616114772832
15818,584.2570087005868
15819,453.71971544359536
15820,572.4579470817629
15821,537.1041934516384
15822,617.593017958655
15823,446.44566431524237
15824,444.4511743065288
15825,455.20309769347057
15826,608.2362910552057
15827,438.259467539215
15828,620.2194416113228
15829,611.1371779424625
15830,516.628997539767
15831,618.0691844025064
15832,572.4525370306463
15833,605.7933556490226
15834,618.0137088207085
15835,574.965733482722
15836,541.8305013324652
15837,458.90558421195885
15838,542.3696862499135
15839,539.1871340945453
15840,612.1685373026561
15841,585.7330372187957
15842,607.0508838545576
15843,546.6694797867772
15844,571.4770949742358
15845,545.079066418908
15846,607.7664269031939
15847,449.93262987117373
15848,598.3356504076946
15849,586.9343007249445
15850,563.0541247208259
15851,577.7870754996198
15852,571.4997514474302
15853,612.9853352659466
15854,595.315193370239
15855,487.6545370724852
15856,439.98606670808755
15857,603.7640871422269
15858,567.4040988124095
15859,433.9506845409518
15860,442.30910229720433
15861,436.19081528753327
15862,564.289185513898
15863,446.5078263861938
15864,619.8585744645284
15865,621.8565777225423
15866,560.9387223787407
15867,561.043568295842
15868,452.59031111329693
15869,455.87234639975054
15870,443.49413287736155
15871,516.1001481331256
15872,590.4768272475532
15873,443.54683399000885
15874,554.4723530530579
15875,596.0748324568372
15876,461.8254727152289
15877,566.1522643124226
15878,575.946794583368
15879,568.3781002210139
15880,517.0550411255683
15881,446.88107312459795
15882,607.173914679628
15883,554.136799115106
15884,598.1940715564383
15885,615.5667875064767
15886,444.04065537896855
15887,454.5653901806305
15888,572.6226621668873
15889,451.14338901161227
15890,443.1290070953772
15891,549.1614791977692
15892,586.7382299028309
15893,619.054450878598
15894,579.1589411095143
15895,435.11660094382154
15896,605.8963405737738
15897,544.7031987384523
15898,561.5830458666668
15899,613.9732103445523
15900,453.42123008912216
15901,456.5471424122669
15902,446.11649211588656
15903,549.257953637129
15904,442.36807013189986
15905,623.7246340228518
15906,540.6424893147716
15907,501.92895256931723
15908,577.9640414802367
15909,579.4029873458853
15910,623.6565158408582
15911,564.1042971707228
15912,603.6224477846138
15913,575.1245103948378
15914,578.7188291676717
15915,576.0701452665019
15916,564.6851616657268
15917,599.807875515899
15918,428.3563107660056
15919,582.7917457949236
15920,547.8457678437198
15921,511.44297850979154
15922,435.34671503340024
15923,473.4789222590805
15924,464.58130452033015
15925,568.8332725836143
15926,600.1745609780563
15927,542.563090897478
15928,468.41805883550455
15929,576.2978831479545
15930,464.8684787444874
15931,419.04966380204695
15932,436.1116484438203
15933,602.619134900693
15934,543.9081846892743
15935,541.9536755912707
15936,596.7935362290712
15937,456.10791049309876
15938,601.9975098821408
15939,622.4832412567238
15940,630.2218707151778
15941,643.8860503864076
15942,632.4653461166754
15943,660.785794892106
15944,646.9077670269437
15945,630.9469841775332
15946,629.1460091429313
15947,644.5646342854735
15948,648.2598307962177
15949,629.1510739884918
15950,624.8858878852009
15951,619.8166394271526
15952,616.5631474017465
15953,635.141590333516
15954,640.7891473526666
15955,641.5404386479714
15956,653.8401542321204
15957,608.0804158063502
15958,603.6669962500366
15959,621.7362871613478
15960,623.2343178287431
15961,641.3554352289176
15962,600.7255389014132
15963,601.2987787199941
15964,627.0755721681039
15965,619.7816040232542
15966,618.2124660953887
15967,623.729897697838
15968,616.0915760981396
15969,645.7895111809696
15970,627.4319700755676
