,Energy
15121,620.1554902617208
15122,574.7931648472652
15123,603.0861404086353
15124,595.9475445004296
15125,588.2225053905986
15126,584.1522474165652
15127,574.0600424019184
15128,580.8258302393208
15129,567.2250935757032
15130,656.072036006706
15131,602.1666038532347
15132,612.4361896630577
15133,610.5652985751273
15134,568.5440841392009
15135,626.012583343022
15136,581.1292442716059
15137,620.5388549781188
15138,641.9344911368129
15139,602.0124549611414
15140,617.1413184592903
15141,612.0592163801732
15142,604.6774198731251
15143,591.617707578489
15144,646.6747370268417
15145,583.793154644058
15146,607.5110335006596
15147,603.9110398596173
15148,626.0108486446591
15149,639.113278518743
15150,602.7608569206187
15151,641.9510276467468
15152,616.1847395197133
15153,606.3812412806429
15154,624.5673161117049
15155,619.8178862542203
15156,650.5696603385686
15157,618.2439341792856
15158,611.2104568482921
15159,595.1091034156316
15160,611.3639142001733
15161,631.2998054010861
15162,600.1666776123218
15163,606.0574301376698
15164,632.174665654469
15165,615.7762317773397
15166,617.2157228032014
15167,649.9767604593495
15168,607.1591285166945
15169,608.4538760473108
15170,667.6131744570991
15171,660.9514640244756
15172,574.1669990975627
15173,609.8747535319571
15174,621.6798092551044
15175,638.8338932112073
15176,605.5708717334467
15177,574.8787797927206
15178,665.8569153579174
15179,601.063166289665
15180,599.4178697770047
15181,608.1775906969718
15182,618.9157423206038
15183,600.6524227165183
15184,656.0490554643582
15185,609.3693857174696
15186,620.0170366875114
15187,583.490626448383
15188,587.2951206244841
15189,598.681667782292
15190,624.3605189313794
15191,660.3576296649082
15192,602.5492328007382
15193,606.3355970587907
15194,597.8803035533035
15195,664.1832533204956
15196,590.2545780930369
15197,663.0322157340531
15198,575.6056997340668
15199,591.8780975199056
15200,589.3853738596447
15201,640.4920762000554
15202,597.8795447155816
15203,601.5353064870455
15204,586.0394713529031
15205,590.8497004677654
15206,578.2724699963454
15207,576.1288470506692
15208,609.3077516113674
15209,593.719929652134
15210,623.7650667298875
15211,664.4919136271511
15212,621.3019016270117
15213,618.6783759627486
15214,593.291356404339
15215,591.4633009878523
15216,587.7396434490374
15217,656.6320885050404
15218,622.9714786835065
15219,606.0730992088667
15220,603.4127174967675
15221,608.772738857415
15222,587.5202210195247
15223,617.5804143578323
15224,600.4121805455436
15225,607.1882395416344
15226,590.780712195448
15227,606.4174703356101
15228,593.5023330046495
15229,583.2144383059423
15230,609.5490699793887
15231,613.4518438607982
15232,629.0544943669543
15233,605.9799363836053
15234,576.0006199407654
15235,555.8600376565475
15236,621.1847072103552
15237,575.7460189051865
15238,621.0048291352806
15239,615.060948491814
15240,594.6560367536679
15241,638.8437018047628
15242,582.1681577502718
15243,588.3872672386888
15244,453.86532861503724
15245,464.0117953047906
15246,464.89933394392426
15247,460.4139851546654
15248,489.9528915245894
15249,487.4640761180504
15250,503.0494265987374
15251,499.70503579851976
15252,509.39492507507526
15253,463.59468925901814
15254,462.63938859417505
15255,509.3749499481158
15256,471.4838997065007
15257,491.926435416502
15258,454.19634781053196
15259,479.0029716147084
15260,488.0007939296067
15261,467.000786932318
15262,474.12480899924856
15263,497.5081079766346
15264,458.2748725007662
15265,491.2125443071952
15266,485.75520275489106
15267,486.2627307597
15268,476.8698582281186
15269,473.4269302503873
15270,511.9884817688675
15271,485.9614747818558
15272,461.5646113169545
15273,456.6767592869094
15274,464.539535648958
15275,499.917636947218
15276,488.4609642860868
15277,471.1774852665656
15278,451.35754944957546
15279,446.32871999774625
15280,468.8133384561605
15281,513.204564131727
15282,495.16483859494423
15283,494.6941968581492
15284,494.836407565249
15285,465.3535412729922
15286,458.3156618649487
15287,468.27566377962717
15288,467.8677323505494
15289,459.3407064918124
15290,450.7498821325981
15291,449.01890275231403
15292,466.65381093089894
15293,466.4013586317592
15294,507.029083894377
15295,463.94795473055245
15296,461.2778878694644
15297,468.1068955373138
15298,560.282807518581
15299,466.3333782000646
15300,465.03247889625163
15301,468.88950720258975
15302,466.9593759053329
15303,472.72296669281326
15304,511.5697369724617
15305,489.9694102077162
15306,504.5813662143145
15307,511.6661542203045
15308,465.60286590074867
15309,462.1116927088675
15310,453.7676091270272
15311,451.88450693269795
15312,449.70309852434093
15313,479.94630406795545
15314,475.80387494891505
15315,472.9400628184559
15316,478.3960853467795
15317,457.3427232082205
15318,467.23507234041966
15319,515.2202460521485
15320,474.9834289542773
15321,471.00448763651985
15322,501.9977940393032
15323,467.3838159647778
15324,456.8485597902136
15325,459.261007417934
15326,448.9337060155527
15327,506.1278975861174
15328,473.68966629978866
15329,471.3506646398196
15330,458.1612719946464
15331,471.3383403720275
15332,512.7607983214771
15333,467.76742869524145
15334,455.8240287286419
15335,469.32658970109435
15336,465.9445668750785
15337,450.30945966088797
15338,462.87401733083635
15339,487.08306829834925
15340,490.9530964945694
15341,509.26745662416323
15342,468.2535274738436
15343,460.02539236086125
15344,455.1437660794272
15345,467.0127411157902
15346,494.0251384098025
15347,497.96417714704296
15348,465.2705746915148
15349,486.5366231336034
15350,468.46134809177715
15351,460.1049136561914
15352,479.9748800873469
15353,467.3199592234703
15354,499.910086308907
15355,450.64412222259284
15356,452.98524429703366
15357,490.319857931271
15358,504.16335917851137
15359,467.31991690273713
15360,569.7921494847183
15361,573.5791024362316
15362,538.6994327221884
15363,585.6173178746294
15364,573.4293493197931
15365,593.0941336387197
15366,571.3205801712114
15367,560.5921428093741
15368,564.9845446010471
15369,520.39805336615
15370,517.6260105413533
15371,552.0696873847263
15372,594.2405076595738
15373,568.44616664143
15374,595.1866046822214
15375,611.9980232908753
15376,577.2966791585991
15377,547.1838991207661
