,2025
1.Population_Grid,11604373.309986185
1.Population_SA_PV_,798116.1338039759
1.Population_MG_Hybrid_LowLands,51688.5564014
2.New_Connections_Grid,3188378.5212273775
2.New_Connections_SA_PV_,629584.2164185251
2.New_Connections_MG_Hybrid_LowLands,37330.074441323
3.Capacity_Grid,264308.8048735457
3.Capacity_SA_PV_,44685.25690957865
3.Capacity_MG_Hybrid_LowLands,2903.213287498085
4.Investment_Grid,1053339579.2161517
4.Investment_SA_PV_,245005959.8727115
4.Investment_MG_Hybrid_LowLands,26253813.27327295
