,OID,Country,CountryCode,GridCellArea,pointid,Pop,X,Y,X_deg,Y_deg,TravelHours,NTLBin,NTLArea,NightLights,Elevation,Slope,LandCover,Conflict,ElectrificationOrder,GHI,SolarRestriction,WindVel,HydropowerFID,HydropowerDist,Hydropower,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,SubstationDist,TransformerDist,RoadDist,IsUrban,Electrific,ElecTechStart,PerCapitaDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,CommercialDemand,AgriDemand,EducationDemand,HealthDemand,HealthDemand2025,EducationDemand2025,ElecStart,Elec_Initial_Status_Grid2012,Elec_Init_Status_Offgrid2012,Actual_Elec_Status_2012,FinalElecCode2012,GridReachYear,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,Pop2025High,Pop2025Low,Pop2012,GridDistCalibElec,ElecPopCalib,PV total output,MVConnectDist,minTDdist,Pop2025,NewConnections2025,NumPeoplePerHH,Tier,EnergyPerSettlement2025,TotalEnergyPerCell,Demand_Name2025,DistributionNetwork? 2012,MG_Hybrid_LowLandsFuelCost2025,SA_PV_2025,MG_Hybrid_LowLands2025,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Grid2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,FinalElecCode2025,NewCapacity2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,Scenario,SA
17735,-1,Bolivia,1,1,17736,410.58063,-7304.755,-1887.9016,-65.61973,-16.823263,6,0,1,0.0,318,7.8601856,2,0,0,1607,1,1.3623862,193,29.790808000000002,8108790,20.335,20.335,4.547,4.0889999999999995,29.045,0,5.509375,0,0.009000000000000001,3,94.65224,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,0.0,0.0,0,0,0.009000000000000001,0,1,1,SA_PV2012,2012,4,1,4,5,5,3.85,1.10274,1.23e-07,392.69583,472.48074,448.8567,392.69583,4.547,3.5342627,450.74905,4.0889999999999995,4.0889999999999995,472.48074,468.94647000000003,3.4190940000000003,3,73343.55,73866.41,LowLands,False,1.02696,0.99860054,0.609575,MG_Hybrid_LowLands2025,0.609575,0.42951584,4.5091043,1,Grid2025,0.42951584,177618.89,1,378.76157,Grid2025,18.977629999999998,,,,0.2 USD/l,False
17736,-1,Bolivia,1,1,17737,159.8721,-7298.7173,-1909.2479,-65.56549,-17.007856,1,1,1,0.1548835,452,9.115084,2,0,0,1507,1,1.2160146,203,14.411317000000002,9727050,0.011000000000000001,0.011000000000000001,0.39299999999999996,0.152,13.558,0,0.1593753,0,0.023,3,94.65224,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,0.0,0.0,0,0,0.023,0,1,1,SA_PV2012,2012,5,1,4,5,5,4.0,1.1180711,3.24e-09,152.90811000000002,183.97481000000002,174.77606,152.90811000000002,0.39299999999999996,3.5168866999999997,456.16635,0.152,0.011000000000000001,183.97481000000002,180.45792,3.4190940000000003,3,30664.611,31184.897999999997,LowLands,False,1.0044934,1.1735243999999998,0.7723883,MG_Hybrid_LowLands2025,0.7723883,0.47921813,0.16994679999999998,1,Grid2025,0.47921813,85459.69,1,473.57125999999994,Grid2025,8.744102499999999,,,,Other technologies,False
17739,-1,Bolivia,1,1,17740,374.24606,-7259.2656,-1888.5166,-65.2111,-16.828585,5,0,1,0.0,224,0.7309923,2,0,0,1729,1,2.0976722000000003,193,31.258460999999997,8108790,19.63,19.63,3.3480000000000003,0.114,20.401,0,15.318107000000001,0,0.233,1,63.356285,10.659788,60.322834,221.18372000000002,583.1207,824.41205,58.997963,0,0,4.358324,0.0,0,0,0.233,1,0,1,Grid2012,2012,3,1,4,5,5,3.7,1.0892444,0.000333354,357.944,430.66827,409.13486,357.944,3.3480000000000003,83.40095,448.38422,0.0,0.114,430.66827,347.26732999999996,3.4190940000000003,2,55342.36,67680.68,LowLands,True,1.0224666999999998,0.94565034,0.75093347,MG_Hybrid_LowLands2025,0.75093347,0.1223,0.0,0,Grid2025,0.1223,137094.64,1,394.78125,Grid2025,14.590012,,,,Other technologies,False
17742,-1,Bolivia,1,1,17743,192.57323,-7301.382,-1907.046,-65.58943000000001,-16.988823,2,0,1,0.0,523,14.072523,2,0,0,1528,1,1.1972,203,17.819202,9727050,1.669,1.669,1.296,1.1909999999999998,16.384,0,0.116474,0,0.019,1,94.65224,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,0.0,0.0,0,0,0.019,1,0,1,Grid2012,2012,5,1,4,4,4,3.55,1.0773641999999999,1.8299999999999999e-09,184.18477,221.606,210.52571,184.18477,1.296,3.4995108,455.37212999999997,0.0,1.1909999999999998,221.606,218.1065,3.4190940000000003,3,36234.336,36752.05,LowLands,True,1.0089867000000001,1.1342481000000002,0.9858861999999999,MG_Hybrid_LowLands2025,0.9858861999999999,0.1223,0.0,0,Grid2025,0.1223,136608.11,1,626.33673,Grid2025,10.125678,,,,Other technologies,False
17749,-1,Bolivia,1,1,17750,359.71225,-7316.638000000001,-1862.3623,-65.72648000000001,-16.602173,4,0,1,0.0,262,9.234019,2,0,0,1686,1,1.9141960999999998,174,54.469584999999995,5391300,47.496,47.496,3.167,3.167,56.55,0,2.8922038,0,0.03,3,99.18665,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,4.534418,0.0,0,0,0.03,0,1,1,SA_PV2012,2012,5,1,4,5,5,4.0,1.1180711,0.00010641700000000001,344.04323999999997,413.9433,393.24612,344.04323999999997,3.167,10.321297999999999,448.27383,3.167,3.167,413.9433,403.62199999999996,3.4190940000000003,3,63679.457,65206.39,LowLands,False,1.0179733,0.96976835,0.6336371999999999,MG_Hybrid_LowLands2025,0.6336371999999999,0.43928090000000003,3.5409309999999996,1,Grid2025,0.43928090000000003,158750.31,1,393.3143,Grid2025,16.787937,,,,0.2 USD/l,False
17757,-1,Bolivia,1,1,17758,188.93976,-7293.488,-1912.1201,-65.51852,-17.032679,1,0,1,0.0,425,3.7584864999999996,2,0,0,1498,1,1.4213209999999998,203,8.445022999999999,9727050,0.742,0.742,1.176,1.176,8.779,0,0.42906049999999996,0,0.212,1,94.65224,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,0.0,0.0,0,0,0.212,1,0,1,Grid2012,2012,5,2,4,5,5,4.2,1.1418033,3.83e-07,180.7096,217.42476000000002,206.55353,180.7096,1.176,38.310432,457.87274,0.0,0.742,217.42476000000002,179.11433,3.4190940000000003,3,30465.842,36133.48,LowLands,True,1.0044934,1.1805748999999999,0.8860802,MG_Hybrid_LowLands2025,0.8860802,0.1223,0.0,0,Grid2025,0.1223,94603.04,1,528.17126,Grid2025,8.687422999999999,,,,Other technologies,False
17760,-1,Bolivia,1,1,17761,312.4773,-7305.759,-1907.4701,-65.62874599999999,-16.992489000000003,2,0,1,0.0,480,4.120899,2,0,0,1505,1,0.9511144,203,21.51586,9727050,1.176,1.176,0.012,0.012,20.684,0,0.8161694,0,0.337,1,94.65224,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,0.0,0.0,0,0,0.337,1,0,1,Grid2012,2012,5,1,4,5,5,4.0,1.1180711,2.59e-14,298.86584,359.5871,341.60776,298.86584,0.012,100.7178,456.2497,0.0,0.012,359.5871,258.86932,3.4190940000000003,3,42264.777,57164.945,LowLands,True,1.0089867000000001,1.1290021000000001,0.7688944999999999,MG_Hybrid_LowLands2025,0.7688944999999999,0.1223,0.0,0,Grid2025,0.1223,105669.664,1,408.19693,Grid2025,11.579298,,,,Other technologies,False
17761,-1,Bolivia,1,1,17762,174.40593,-7273.387,-1864.1445,-65.33795,-16.617608999999998,9,0,1,0.0,212,2.837841,2,0,0,1741,1,2.2431137999999997,172,35.880203,3438760,41.276,41.276,15.315,3.2119999999999997,46.705,0,17.948995999999998,0,0.10400000000000001,2,104.00447,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,9.352238,0.0,0,0,0.10400000000000001,0,1,1,SA_Diesel2012,2012,3,1,4,5,5,3.7,1.0892444,0.00068453,166.80885,200.69978,190.6648,166.80885,15.315,17.34812,445.4321,3.2119999999999997,3.2119999999999997,200.69978,183.35165,3.4190940000000003,3,31092.713,33659.19,LowLands,False,1.04044,1.0157962,0.7914313000000001,MG_Hybrid_LowLands2025,0.7914313000000001,0.6363506,3.498653,1,Grid2025,0.6363506,118079.95,1,644.00806,Grid2025,8.866177,,,,0.2 USD/l,False
17762,-1,Bolivia,1,1,17763,290.67657,-7259.173000000001,-1889.7422,-65.21025999999999,-16.839188,4,0,1,0.0,221,0.4016532,2,0,0,1728,1,2.1434813,193,30.561356,8108790,18.406,18.406,2.622,0.011000000000000001,19.197,0,15.449669,0,0.225,2,117.341675,10.659788,60.322834,221.18372000000002,583.1207,824.41205,111.73033000000001,0,0,5.611342400000001,0.0,0,0,0.225,0,1,1,SA_Diesel2012,2012,3,1,4,5,5,3.7,1.0892444,0.00042446599999999997,278.01474,334.49962999999997,317.77466,278.01474,2.622,62.553318000000004,448.48404000000005,0.011000000000000001,0.011000000000000001,334.49962999999997,271.94632,3.4190940000000003,3,44199.387,53453.51,LowLands,False,1.0179733,0.98330337,0.728164,MG_Hybrid_LowLands2025,0.728164,0.43499184,0.0119816875,1,Grid2025,0.43499184,109754.72,1,403.58966000000004,Grid2025,12.109324,,,,Other technologies,False
17764,-1,Bolivia,1,1,17765,679.4565,-7326.7876,-1842.6711,-65.81766,-16.431532,21,1,1,0.1546714,254,1.0040468,2,0,0,1724,1,2.2824147,174,43.746548,5391300,69.275,69.275,6.932,0.11900000000000001,78.59899999999999,0,20.771587,0,0.54,1,97.05281,10.659788,60.322834,221.18372000000002,583.1207,824.41205,94.65224,0,0,2.4005742000000003,0.0,0,0,0.54,1,0,1,Grid2012,2012,3,1,4,5,5,3.7,1.0892444,0.0008134969999999999,649.8595,781.8929,742.7983,649.8595,6.932,350.92413,445.72916,0.0,0.11900000000000001,781.8929,430.96878,3.4190940000000003,3,67725.13,119640.77,LowLands,True,1.09436,0.9308301,0.6518568,MG_Hybrid_LowLands2025,0.6518568,0.1223,0.0,0,Grid2025,0.1223,124781.76,1,289.5378,Grid2025,17.523867000000003,,,,Other technologies,False
